LINK,ACESSO,TÍTULO,ANO,TIPO,MÍDIA,LIVRO,EDITORA,REVISTA/PERIÓDICO,QUALIS,DOSSIÊ,INSTITUIÇÃO,ESTADO,REGIÃO,Nº AUTORIES,AUTORE 1,AUTORE 2,AUTORE 3,AUTORE 4,AUTORE 5,Área/Gênero
,,Cruzada à linguagem não-binária no legislativo brasileiro,2023,Capítulo de Livro,,Contemporaneidade em discurso: Contribuições da análise do discurso sobre questões do nosso tempo,Dialogarts,,,,,RJ,Sudeste,2,Iran Ferreira de Melo,Gustavo José Barbosa Paraiso,,,,
https://publicacoes.even3.com.br/book/diversidade-sexual-e-de-genero-repercussoes-juridicas-e-sociais-3283575,Livre,Proibições e falácias sobre linguagem não-binária no brasil,2023,Capítulo de Livro,Digital,Diversidade sexual e de gênero: repercussões jurídicas e Sociais,OAB-PE,,,,,PE,Nordeste,2,Iran Ferreira de Melo,Gustavo José Barbosa Paraiso,,,,Direito
https://pedroejoaoeditores.com.br/produto/letramentos-diversidade-e-resistencia/,Livre,Notas sobre linguagem e não binariedade de gênero,2023,Capítulo de Livro,Digital,Letramentos: diversidade e resistência,Pedro & João Editores,,,,,SP,Sudeste,1,Iran Ferreira de Melo,,,,,Educação
https://sxpolitics.org/ptbr/artigo-ofensivas-contra-a-linguagem-nao-binaria-em-cenario-legislativo-do-brasil/13382,Livre,Ofensivas contra a linguagem não-binária em cenário legislativo do Brasil,2023,Artigo,Digital,,,Sexuality Policy Watch,Sem qualis,,SPW,RJ,Sudeste,2,Iran Ferreira de Melo,Gustavo José Barbosa Paraiso,,,,Gênero e sexualidade
https://editorarealize.com.br/editora/anais/conedu/2023/TRABALHO_COMPLETO_EV185_MD1_ID18892_TB4329_25102023151645.pdf,Livre,Educação em Risco? Linguagem Não-Binária em Projetos Proibicionistas,2023,Anais,Digital,,,,,,,PB,Nordeste,1,Iran Ferreira de Melo,,,,,Educação
"http://revistazcultural.pacc.ufrj.br/a-emergencia-do-termo-sapatao-nao-binarie-como-disputa-discursiva-no-brasil-contemporaneo/#:~:text=Sapat%C3%A3o%20foi%20se%20tornando%20uma,a%20si%20mesmas%20como%20sapat%C3%A3o.",Livre,"A emergência do termo ""sapatão-não-binárie"" como disputa discursiva no brasil contemporâneo",2023,Artigo,Digital,,,Revista Z Cultural,C,,UFRJ,RJ,Sudeste,1,Dri Azevedo,,,,,Gênero e sexualidade
https://www.periodicos.ufpi.br/index.php/revzab/article/view/4339,Livre,Trajetórias e experiências educacionais de pessoas não-binaries: Reflexões teóricas para a construção de uma agenda de pesquisa,2023,Artigo,Digital,,,Revista Zabelê,Sem qualis,"Gênero em dispusta: conflitos políticos, identitários e sociais",UFPI,PI ,Nordeste,1,Inaê Iabel Barbosa,,,,,Antropologia
https://revista.defensoria.rs.def.br/defensoria/article/view/588,Livre,O reconhecimento da não binariedade de gênero a partir da atuação da Defensoria Pública do Rio Grande do Sul,2023,Artigo,Digital,,,Revista da Defensoria Pública do Estado do Rio Grande do Sul,B2,,DEF. PUB. RS,RS,Sul,3,Aline Palermo Guimarães,Eduardo Oliveira Zanini,Rafaela Weber Mallmann,,,Direito
https://periodicos.udesc.br/index.php/ensinarmode/article/view/23546,Livre,Notas para queerizar os estudos sobre modas não binárias,2023,Artigo,Digital,,,"Revista de Ensino em Artes, Moda e Design",B1,,UDESC,SC,Sul,2,Natalia Rosa Epaminondas,Paulo de Oliveira Rodrigues Junior,,,,"Artes, Moda e Design"
https://www.editorafoco.com.br/produto/vulnerabilidades-dimensoes-juridicas-2023 ,Pago,"Corpos Dissidentes de um Mundo Dividido em Azul e Rosa: um olhar sobre o sexo biológico e a performatividade de gênero na construção da vulnerabilidade de pessoas trans, não bináries e intersexo nas relações privadas",2023,Capítulo de Livro,Impresso,Vulnerabilidade e suas Dimensões Jurídicas.,Editora Foco,,,,,SP,Sudeste,2,Manuel Camelo Ferreira da Silva Netto,Carlos Henrique Félix Dantas,,,,Direito
https://proceedings.science/cics-2023/trabalhos/nao-tenho-nem-pai-nem-mae-nem-ninguem-nao-binariedade-socializacao-e-relacoes-fa-2?lang=pt-br,Livre,"""Não tenho nem pai, nem mãe, nem ninguém"": não binariedade, socialização e relações familiares",2023,Anais,Digital,,,,,,,PI ,Nordeste,2,Camila Siqueira Cronemberger Freitas,Ayan Beatrix Pereira Gomes,,,,Ciências Sociais
https://periodicos.unespar.edu.br/index.php/mosaico/article/view/8019,Livre,Escritos sobre improvisar na vidança (de uma não-binária em permanente transição espiralar).,2023,Artigo,Digital,,,O Mosaico,B1,,UNESPAR,PR,Sul,1,Princesa Ricardo Marinelli,,,,,Artes
https://www.editorafi.org/ebook/714-cartografias-desejo ,Livre,Cartografias do DeseJO: cartas a Paul Preciado em fuga da binaridade de gênero,2023,Livro,Digital,Cartografias do DeseJO: cartas a Paul Preciado em fuga da binaridade de gênero,Editora Fi,,,,,RS,Sul,1,Jo Schlösser Camões Orlando,,,,,Psicologia
https://revistas.ufpel.edu.br/index.php/clio/article/view/4705 ,Livre,Gêneros não-binários etnohistóricos: o gênero Muxe e a colonialidade,2023,Artigo,Digital,,,Revista Discente Ofícios De Clio,B3,,UFPel,RS,Sul,1,Triodite Gabriel Donizetti Partenos Ferreira Simionato,,,,,História
https://cmc.eca.usp.br/monografias/Julia.pdf,Livre e Pago,Mapeando vozes não binárias nas redes sociais,2024,Livro,Impresso,Mapeando vozes não binárias nas redes sociais,Monstro dos Mares,,,,,PR,Sul,1,Ju Spohr,,,,,Cultura material e consumo: Perspectivas semiopsicanaílticas
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/59507,Livre,[APRESENTAÇÃO] Não binariedade: uma identidade emergente no Brasil contemporâneo,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Dri Azevedo,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54824,Livre,Além dos binarismos: a não binariedade como potência subversiva,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Mariana Ferreira Pombo,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54804,Livre,"Analisando argumentos antilinguagem não binária: cisnormatividade, colonialidade e capacitismo",2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Inaê Iabel Barbosa,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54801,Livre,“Pane no cistema”: discutindo a não binariedade e o protagonismo trans nas redes sociais,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,HBlynda Morais,,,,,Gênero e sexualidade
